order_id,quantity,month_name,day_name,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
2,2,10,Wednesday,17,32.0,32.0,M,Veggie,The Mexicana Pizza
1,1,08,Saturday,19,16.0,16.0,M,Veggie,The Green Garden Pizza
4,4,12,Friday,17,50.0,50.0,M,Classic,The Pepperoni Pizza
2,2,07,Saturday,20,41.0,41.0,L,Classic,The Greek Pizza
3,3,08,Tuesday,13,62.25,62.25,L,Chicken,The Thai Chicken Pizza
1,1,11,Saturday,13,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
2,2,07,Saturday,19,29.0,29.0,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
2,2,11,Friday,21,32.0,32.0,M,Veggie,The Mexicana Pizza
2,2,10,Friday,14,24.5,24.5,S,Supreme,The Sicilian Pizza
1,1,07,Thursday,16,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,09,Sunday,15,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
1,1,07,Friday,21,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
1,1,08,Saturday,22,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
1,1,07,Wednesday,13,12.5,12.5,S,Supreme,The Pepper Salami Pizza
2,2,11,Sunday,17,24.5,24.5,S,Supreme,The Sicilian Pizza
1,1,08,Sunday,17,16.5,16.5,M,Supreme,The Pepper Salami Pizza
1,1,07,Thursday,11,16.75,16.75,M,Chicken,The Thai Chicken Pizza
1,1,12,Saturday,12,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
1,1,10,Tuesday,11,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,11,Monday,20,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,07,Friday,19,16.5,16.5,M,Veggie,The Spinach Pesto Pizza
2,2,11,Thursday,17,51.0,51.0,XL,Classic,The Greek Pizza
1,1,08,Monday,20,16.75,16.75,M,Chicken,The California Chicken Pizza
2,2,12,Tuesday,12,32.0,32.0,M,Classic,The Italian Capocollo Pizza
1,1,10,Sunday,19,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,06,Saturday,19,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
1,1,06,Sunday,15,13.25,13.25,M,Classic,The Hawaiian Pizza
1,1,12,Monday,12,20.75,20.75,L,Veggie,The Spinach Pesto Pizza
5,5,03,Monday,13,63.75,63.75,S,Chicken,The Barbecue Chicken Pizza
2,2,05,Friday,17,22.0,22.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
3,3,06,Monday,13,48.0,48.0,M,Classic,The Classic Deluxe Pizza
3,3,06,Thursday,19,55.5,55.5,L,Veggie,The Five Cheese Pizza
2,3,01,Wednesday,13,24.5,36.75,S,Supreme,The Sicilian Pizza
1,1,01,Wednesday,19,16.5,16.5,M,Supreme,The Italian Supreme Pizza
3,3,02,Friday,16,45.75,45.75,L,Classic,The Pepperoni Pizza
4,5,06,Wednesday,18,67.0,83.75,M,Chicken,The Barbecue Chicken Pizza
1,1,01,Saturday,20,12.25,12.25,S,Supreme,The Sicilian Pizza
1,1,03,Saturday,12,23.65,23.65,S,Supreme,The Brie Carre Pizza
4,4,02,Monday,12,66.0,66.0,M,Supreme,The Italian Supreme Pizza
3,3,03,Monday,21,38.25,38.25,S,Chicken,The Southwest Chicken Pizza
2,2,04,Tuesday,15,37.0,37.0,L,Veggie,The Five Cheese Pizza
1,1,06,Wednesday,12,20.75,20.75,L,Supreme,The Soppressata Pizza
3,3,01,Friday,21,48.0,48.0,M,Classic,The Classic Deluxe Pizza
1,1,05,Wednesday,15,12.5,12.5,S,Supreme,The Soppressata Pizza
1,1,04,Friday,17,16.0,16.0,M,Classic,The Napolitana Pizza
1,1,02,Sunday,12,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
2,2,06,Tuesday,18,40.5,40.5,L,Veggie,The Vegetables + Vegetables Pizza
1,1,04,Monday,13,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
2,2,01,Friday,16,25.0,25.0,S,Supreme,The Spinach Supreme Pizza
3,3,05,Sunday,18,29.25,29.25,S,Classic,The Pepperoni Pizza
2,2,06,Saturday,17,26.5,26.5,M,Classic,The Hawaiian Pizza
1,1,06,Tuesday,20,12.5,12.5,S,Supreme,The Italian Supreme Pizza
2,2,01,Thursday,16,25.0,25.0,M,Classic,The Pepperoni Pizza
5,6,02,Friday,12,103.75,124.5,L,Chicken,The Barbecue Chicken Pizza
3,3,02,Monday,13,49.5,49.5,M,Supreme,The Italian Supreme Pizza
1,1,02,Thursday,12,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,03,Friday,11,16.5,16.5,M,Supreme,The Soppressata Pizza
2,2,05,Friday,12,41.5,41.5,L,Supreme,The Spicy Italian Pizza
1,1,05,Friday,20,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
1,1,02,Wednesday,12,20.25,20.25,L,Veggie,The Mexicana Pizza
2,2,05,Friday,19,41.5,41.5,L,Chicken,The Chicken Pesto Pizza
4,4,05,Monday,16,83.0,83.0,L,Chicken,The Barbecue Chicken Pizza
1,1,03,Friday,12,16.0,16.0,M,Classic,The Greek Pizza
1,1,03,Thursday,17,12.0,12.0,S,Veggie,The Mexicana Pizza
1,1,06,Wednesday,19,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,01,Friday,22,12.0,12.0,S,Veggie,The Mediterranean Pizza
1,1,04,Friday,17,12.25,12.25,S,Supreme,The Sicilian Pizza
2,2,05,Tuesday,12,41.5,41.5,L,Supreme,The Prosciutto and Arugula Pizza
1,1,08,Tuesday,12,9.75,9.75,S,Classic,The Pepperoni Pizza
1,1,07,Tuesday,12,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,10,Sunday,14,20.75,20.75,L,Supreme,The Italian Supreme Pizza
3,3,08,Friday,22,62.25,62.25,L,Chicken,The Thai Chicken Pizza
1,1,09,Monday,13,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
1,1,07,Friday,11,12.0,12.0,S,Veggie,The Green Garden Pizza
3,3,09,Monday,17,49.5,49.5,M,Supreme,The Prosciutto and Arugula Pizza
4,4,12,Monday,20,71.8,71.8,L,Veggie,The Four Cheese Pizza
1,1,07,Wednesday,14,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
1,2,11,Thursday,13,20.25,40.5,L,Supreme,The Sicilian Pizza
1,1,12,Sunday,18,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,07,Wednesday,13,12.5,12.5,M,Classic,The Pepperoni Pizza
1,1,09,Friday,15,16.5,16.5,M,Supreme,The Pepper Salami Pizza
1,1,07,Friday,20,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,08,Thursday,17,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
1,1,11,Saturday,20,20.5,20.5,L,Classic,The Greek Pizza
2,2,12,Tuesday,12,33.0,33.0,M,Supreme,The Prosciutto and Arugula Pizza
1,1,12,Friday,18,12.75,12.75,S,Chicken,The Thai Chicken Pizza
1,1,09,Wednesday,19,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,11,Sunday,19,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
1,1,07,Monday,17,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,10,Thursday,16,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,07,Wednesday,21,20.5,20.5,L,Classic,The Classic Deluxe Pizza
1,1,07,Saturday,18,16.0,16.0,M,Classic,The Classic Deluxe Pizza
2,2,12,Wednesday,17,25.0,25.0,S,Supreme,The Spicy Italian Pizza
1,1,07,Sunday,14,20.25,20.25,L,Veggie,The Mexicana Pizza
1,1,07,Saturday,18,12.0,12.0,S,Classic,The Napolitana Pizza
2,2,10,Friday,17,41.5,41.5,L,Supreme,The Spinach Supreme Pizza
1,1,10,Friday,22,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,12,Monday,13,20.75,20.75,L,Supreme,The Spicy Italian Pizza
3,3,07,Friday,21,48.0,48.0,M,Veggie,The Mexicana Pizza
1,1,11,Thursday,19,25.5,25.5,XL,Classic,The Greek Pizza
1,1,08,Tuesday,21,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
1,1,10,Wednesday,20,16.0,16.0,M,Veggie,The Spinach and Feta Pizza
1,2,07,Friday,17,20.75,41.5,L,Supreme,The Spicy Italian Pizza
1,1,10,Saturday,17,15.25,15.25,L,Classic,The Pepperoni Pizza
2,2,07,Saturday,20,30.5,30.5,L,Classic,The Pepperoni Pizza
1,1,07,Friday,19,20.75,20.75,L,Supreme,The Spicy Italian Pizza
1,1,08,Thursday,17,12.75,12.75,S,Chicken,The Southwest Chicken Pizza
1,1,09,Thursday,16,15.25,15.25,L,Classic,The Pepperoni Pizza
1,1,12,Wednesday,16,14.75,14.75,M,Veggie,The Four Cheese Pizza
1,1,07,Sunday,19,16.5,16.5,M,Supreme,The Spicy Italian Pizza
1,1,12,Saturday,17,16.75,16.75,M,Chicken,The Thai Chicken Pizza
2,2,05,Wednesday,20,40.5,40.5,L,Veggie,The Spinach and Feta Pizza
2,2,02,Wednesday,12,32.0,32.0,M,Classic,The Classic Deluxe Pizza
3,3,05,Monday,19,36.0,36.0,S,Classic,The Big Meat Pizza
4,4,06,Thursday,12,67.0,67.0,M,Chicken,The Barbecue Chicken Pizza
2,2,04,Saturday,17,41.5,41.5,L,Supreme,The Pepper Salami Pizza
2,2,05,Thursday,12,41.0,41.0,L,Classic,The Italian Capocollo Pizza
2,2,06,Monday,13,25.5,25.5,S,Chicken,The Barbecue Chicken Pizza
1,1,02,Saturday,12,16.5,16.5,M,Supreme,The Spinach Supreme Pizza
2,2,03,Monday,13,25.5,25.5,S,Chicken,The Southwest Chicken Pizza
2,2,05,Thursday,14,41.5,41.5,L,Supreme,The Pepper Salami Pizza
1,1,06,Wednesday,17,16.25,16.25,M,Supreme,The Sicilian Pizza
2,2,01,Thursday,15,41.5,41.5,L,Chicken,The Thai Chicken Pizza
2,2,05,Saturday,16,22.0,22.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,02,Sunday,11,20.75,20.75,L,Chicken,The Thai Chicken Pizza
2,2,03,Friday,18,32.0,32.0,M,Classic,The Classic Deluxe Pizza
2,2,01,Friday,15,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,1,01,Friday,22,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,04,Thursday,15,20.5,20.5,L,Classic,The Napolitana Pizza
2,2,06,Saturday,17,41.5,41.5,L,Supreme,The Italian Supreme Pizza
3,3,05,Saturday,17,62.25,62.25,L,Chicken,The Thai Chicken Pizza
3,3,01,Tuesday,15,48.0,48.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,01,Saturday,17,20.75,20.75,L,Supreme,The Prosciutto and Arugula Pizza
2,2,05,Saturday,14,25.0,25.0,S,Veggie,The Spinach Pesto Pizza
2,2,01,Tuesday,16,21.0,21.0,S,Classic,The Hawaiian Pizza
1,1,05,Friday,21,20.75,20.75,L,Chicken,The Southwest Chicken Pizza
1,1,03,Sunday,19,20.25,20.25,L,Veggie,The Green Garden Pizza
1,1,05,Thursday,18,14.5,14.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,04,Tuesday,15,20.75,20.75,L,Chicken,The Barbecue Chicken Pizza
1,2,02,Saturday,14,16.5,33.0,M,Supreme,The Spinach Supreme Pizza
1,1,02,Monday,12,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,03,Monday,11,17.95,17.95,L,Veggie,The Four Cheese Pizza
3,4,05,Thursday,17,62.25,83.0,L,Chicken,The Barbecue Chicken Pizza
1,1,05,Saturday,20,16.0,16.0,M,Classic,The Greek Pizza
1,1,06,Friday,14,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
1,1,01,Wednesday,19,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
1,1,01,Saturday,21,12.25,12.25,S,Supreme,The Sicilian Pizza
4,4,02,Thursday,15,42.0,42.0,S,Classic,The Hawaiian Pizza
2,2,05,Saturday,16,33.0,33.0,M,Supreme,The Italian Supreme Pizza
1,1,01,Thursday,20,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
1,1,03,Friday,16,15.25,15.25,L,Classic,The Pepperoni Pizza
1,1,03,Sunday,12,20.5,20.5,L,Classic,The Italian Capocollo Pizza
1,1,06,Thursday,17,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,01,Monday,16,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,05,Sunday,16,16.25,16.25,M,Supreme,The Calabrese Pizza
1,1,03,Wednesday,22,16.5,16.5,L,Classic,The Hawaiian Pizza
1,1,01,Saturday,18,20.25,20.25,L,Veggie,The Mediterranean Pizza
3,3,02,Wednesday,12,37.5,37.5,M,Classic,The Pepperoni Pizza
1,1,03,Tuesday,21,20.75,20.75,L,Chicken,The Chicken Pesto Pizza
1,1,06,Monday,11,16.75,16.75,M,Chicken,The Barbecue Chicken Pizza
3,3,01,Saturday,13,61.5,61.5,L,Classic,The Napolitana Pizza
1,1,02,Sunday,17,23.65,23.65,S,Supreme,The Brie Carre Pizza
2,2,04,Friday,12,24.0,24.0,S,Classic,The Classic Deluxe Pizza
4,5,03,Monday,13,67.0,83.75,M,Chicken,The California Chicken Pizza
3,3,06,Monday,15,44.25,44.25,M,Veggie,The Four Cheese Pizza
2,2,01,Saturday,17,32.0,32.0,M,Classic,The Italian Capocollo Pizza
1,1,03,Wednesday,11,16.5,16.5,M,Supreme,The Italian Supreme Pizza
1,1,03,Saturday,17,20.25,20.25,L,Supreme,The Calabrese Pizza
1,1,02,Friday,11,10.5,10.5,S,Classic,The Hawaiian Pizza
1,1,07,Monday,16,12.5,12.5,M,Classic,The Pepperoni Pizza
3,3,08,Friday,15,38.25,38.25,S,Chicken,The California Chicken Pizza
1,1,12,Sunday,12,16.5,16.5,L,Classic,The Hawaiian Pizza
1,2,11,Monday,12,20.25,40.5,L,Supreme,The Sicilian Pizza
2,2,10,Friday,22,30.5,30.5,L,Classic,The Pepperoni Pizza
2,2,07,Wednesday,12,41.5,41.5,L,Chicken,The Barbecue Chicken Pizza
1,1,07,Wednesday,17,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,12,Friday,12,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
1,1,07,Thursday,11,12.0,12.0,S,Veggie,The Green Garden Pizza
1,1,08,Thursday,13,20.5,20.5,L,Classic,The Napolitana Pizza
3,3,07,Friday,13,48.0,48.0,M,Classic,The Classic Deluxe Pizza
1,1,09,Tuesday,18,16.0,16.0,M,Veggie,The Mexicana Pizza
1,1,08,Wednesday,12,12.5,12.5,S,Supreme,The Spinach Supreme Pizza
2,2,11,Thursday,15,41.0,41.0,L,Classic,The Classic Deluxe Pizza
2,2,11,Tuesday,18,33.5,33.5,M,Chicken,The Barbecue Chicken Pizza
1,1,09,Thursday,13,16.0,16.0,M,Classic,The Classic Deluxe Pizza
1,1,12,Saturday,11,20.25,20.25,L,Veggie,The Mediterranean Pizza
1,1,11,Friday,20,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,08,Sunday,16,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
3,3,07,Wednesday,17,50.25,50.25,M,Chicken,The Chicken Pesto Pizza
2,2,10,Thursday,13,51.0,51.0,XL,Classic,The Greek Pizza
1,1,11,Sunday,11,12.25,12.25,S,Supreme,The Calabrese Pizza
1,1,08,Monday,18,12.75,12.75,S,Veggie,The Italian Vegetables Pizza
3,3,12,Monday,18,55.5,55.5,L,Veggie,The Five Cheese Pizza
2,2,12,Wednesday,15,40.5,40.5,L,Supreme,The Sicilian Pizza
1,1,12,Wednesday,16,20.75,20.75,L,Chicken,The Thai Chicken Pizza
2,2,08,Saturday,21,24.5,24.5,S,Supreme,The Sicilian Pizza
1,1,11,Wednesday,11,20.25,20.25,L,Supreme,The Calabrese Pizza
3,3,11,Thursday,19,38.25,38.25,S,Chicken,The Barbecue Chicken Pizza
2,2,12,Saturday,17,30.5,30.5,L,Classic,The Pepperoni Pizza
1,1,10,Saturday,17,12.0,12.0,S,Veggie,The Green Garden Pizza
2,2,04,Saturday,21,24.5,24.5,S,Supreme,The Sicilian Pizza
2,2,01,Monday,19,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,1,06,Monday,21,14.5,14.5,M,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
2,2,06,Tuesday,19,40.5,40.5,L,Veggie,The Mexicana Pizza
2,2,02,Tuesday,14,32.0,32.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,05,Saturday,12,16.75,16.75,M,Veggie,The Italian Vegetables Pizza
3,3,02,Wednesday,15,33.0,33.0,S,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,02,Tuesday,12,10.5,10.5,S,Classic,The Hawaiian Pizza
3,3,04,Sunday,17,36.0,36.0,S,Veggie,The Spinach and Feta Pizza
3,3,06,Wednesday,13,50.25,50.25,M,Chicken,The Barbecue Chicken Pizza
2,2,01,Saturday,20,33.0,33.0,M,Supreme,The Prosciutto and Arugula Pizza
2,2,03,Thursday,19,41.5,41.5,L,Chicken,The Thai Chicken Pizza
1,2,02,Friday,18,20.25,40.5,L,Veggie,The Mexicana Pizza
1,1,06,Monday,17,12.5,12.5,S,Supreme,The Pepper Salami Pizza
3,3,06,Thursday,16,50.25,50.25,M,Chicken,The Chicken Alfredo Pizza
2,3,05,Wednesday,12,24.5,36.75,S,Supreme,The Sicilian Pizza
1,1,04,Tuesday,11,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,02,Saturday,12,25.5,25.5,XL,Classic,The Greek Pizza
1,1,04,Tuesday,11,12.75,12.75,S,Chicken,The Barbecue Chicken Pizza
1,1,02,Thursday,17,20.75,20.75,L,Chicken,The California Chicken Pizza
1,1,03,Thursday,17,12.75,12.75,S,Chicken,The California Chicken Pizza
3,3,06,Sunday,19,62.25,62.25,L,Chicken,The Southwest Chicken Pizza
3,3,01,Tuesday,17,62.25,62.25,L,Chicken,The Southwest Chicken Pizza
1,1,03,Saturday,11,16.5,16.5,M,Supreme,The Prosciutto and Arugula Pizza
1,1,02,Wednesday,20,12.75,12.75,S,Chicken,The Chicken Pesto Pizza
1,1,06,Sunday,21,16.75,16.75,M,Chicken,The Chicken Alfredo Pizza
1,1,01,Friday,11,20.75,20.75,L,Supreme,The Soppressata Pizza
1,1,05,Monday,17,12.0,12.0,S,Classic,The Napolitana Pizza
1,1,06,Monday,11,20.25,20.25,L,Veggie,The Mexicana Pizza
1,1,03,Wednesday,11,20.5,20.5,L,Classic,The Napolitana Pizza
2,2,04,Saturday,20,41.5,41.5,L,Chicken,The California Chicken Pizza
1,1,04,Wednesday,17,20.75,20.75,L,Supreme,The Spinach Supreme Pizza
1,1,06,Sunday,19,16.25,16.25,M,Supreme,The Sicilian Pizza
2,2,02,Saturday,20,32.0,32.0,M,Classic,The Italian Capocollo Pizza
1,1,04,Tuesday,13,12.0,12.0,S,Veggie,The Vegetables + Vegetables Pizza
1,1,06,Friday,16,20.25,20.25,L,Veggie,The Spinach and Feta Pizza
1,1,03,Sunday,18,17.5,17.5,L,Classic,"The Pepperoni, Mushroom, and Peppers Pizza"
1,1,06,Monday,17,13.25,13.25,M,Classic,The Hawaiian Pizza
2,2,01,Monday,15,24.0,24.0,S,Classic,The Greek Pizza
1,1,03,Friday,19,17.95,17.95,L,Veggie,The Four Cheese Pizza
1,1,01,Thursday,20,16.75,16.75,M,Chicken,The California Chicken Pizza
1,1,01,Tuesday,12,16.0,16.0,M,Veggie,The Vegetables + Vegetables Pizza
1,1,04,Friday,15,12.0,12.0,S,Veggie,The Mediterranean Pizza
1,1,03,Thursday,13,16.5,16.5,M,Veggie,The Spinach Pesto Pizza
1,1,07,Friday,17,16.0,16.0,M,Classic,The Napolitana Pizza
1,1,11,Saturday,18,20.25,20.25,L,Supreme,The Calabrese Pizza
2,2,12,Saturday,15,35.9,35.9,L,Veggie,The Four Cheese Pizza
1,1,09,Sunday,20,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
2,2,08,Tuesday,18,25.5,25.5,S,Veggie,The Italian Vegetables Pizza
1,1,09,Tuesday,14,12.0,12.0,S,Classic,The Italian Capocollo Pizza
1,1,11,Thursday,22,16.25,16.25,M,Supreme,The Sicilian Pizza
2,2,07,Thursday,12,33.0,33.0,L,Classic,The Hawaiian Pizza
1,1,09,Thursday,16,20.75,20.75,L,Chicken,The Chicken Alfredo Pizza
3,3,09,Monday,18,48.0,48.0,M,Classic,The Classic Deluxe Pizza
5,6,11,Friday,12,83.75,100.5,M,Chicken,The California Chicken Pizza
1,2,12,Thursday,13,20.75,41.5,L,Chicken,The Thai Chicken Pizza
3,3,08,Thursday,13,36.0,36.0,S,Classic,The Greek Pizza
2,2,10,Sunday,19,32.5,32.5,M,Supreme,The Sicilian Pizza
1,1,11,Thursday,17,20.75,20.75,L,Chicken,The California Chicken Pizza
4,4,10,Tuesday,20,42.0,42.0,S,Classic,The Hawaiian Pizza
2,2,10,Thursday,12,24.0,24.0,S,Classic,The Classic Deluxe Pizza
1,1,07,Thursday,16,16.0,16.0,M,Classic,The Greek Pizza
2,2,12,Thursday,15,33.5,33.5,M,Chicken,The Southwest Chicken Pizza
3,3,09,Sunday,15,49.5,49.5,M,Supreme,The Italian Supreme Pizza
1,1,07,Sunday,15,20.75,20.75,L,Supreme,The Italian Supreme Pizza
2,2,08,Friday,12,33.5,33.5,M,Chicken,The Chicken Pesto Pizza
4,4,11,Friday,18,64.0,64.0,M,Classic,The Classic Deluxe Pizza
1,1,10,Saturday,14,9.75,9.75,S,Classic,The Pepperoni Pizza
2,2,08,Wednesday,15,32.0,32.0,M,Veggie,The Spinach and Feta Pizza
1,1,09,Friday,21,12.75,12.75,S,Chicken,The Thai Chicken Pizza
1,1,08,Tuesday,21,12.0,12.0,S,Veggie,The Green Garden Pizza
2,2,08,Wednesday,15,41.5,41.5,L,Chicken,The California Chicken Pizza
1,1,11,Thursday,19,16.0,16.0,M,Veggie,The Green Garden Pizza
1,1,10,Tuesday,20,20.75,20.75,L,Chicken,The California Chicken Pizza
2,2,09,Saturday,18,33.0,33.0,M,Supreme,The Italian Supreme Pizza
3,3,11,Thursday,19,36.0,36.0,S,Classic,The Greek Pizza
3,3,08,Monday,16,60.75,60.75,L,Veggie,The Mexicana Pizza
2,2,12,Monday,12,32.0,32.0,M,Classic,The Italian Capocollo Pizza
1,1,08,Wednesday,22,16.75,16.75,M,Chicken,The Southwest Chicken Pizza
1,1,08,Friday,11,10.5,10.5,S,Classic,The Hawaiian Pizza
1,1,09,Sunday,11,16.25,16.25,M,Supreme,The Sicilian Pizza
